                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2685,                0.94662,                 1.1084,                0.76157,                0.66349,                0.70103,                0.41571,                 1.5334,                  1.182,                 1.2857,             0.00081001,             0.00081001,             0.00081001
                     36,                 1.2678,                0.95648,                 1.1026,                0.70926,                0.70636,                0.73255,                0.43897,                  1.511,                 1.1861,                 1.2618,             0.00080701,             0.00080701,             0.00080701
                     37,                 1.2725,                0.97964,                 1.1171,                0.76859,                0.67677,                0.72147,                0.42853,                  1.487,                 1.1829,                 1.2394,             0.00080401,             0.00080401,             0.00080401
                     38,                 1.2407,                0.96202,                  1.093,                0.78889,                0.64108,                0.72491,                0.43356,                 1.4993,                 1.1604,                 1.2425,             0.00080101,             0.00080101,             0.00080101
                     39,                 1.2572,                0.97761,                 1.1164,                0.79037,                0.67169,                0.74075,                0.43961,                 1.5151,                 1.1284,                 1.2679,             0.00079801,             0.00079801,             0.00079801
                     40,                 1.2085,                0.92231,                 1.0922,                0.76783,                0.62982,                0.69882,                 0.4086,                 1.5348,                 1.1719,                 1.2874,             0.00079501,             0.00079501,             0.00079501
                     41,                 1.2397,                0.94484,                 1.0984,                0.76404,                 0.6562,                0.72337,                0.43681,                  1.528,                 1.1373,                 1.2819,             0.00079201,             0.00079201,             0.00079201
                     42,                 1.2521,                0.92949,                 1.0975,                0.70316,                0.63774,                0.69889,                0.41064,                 1.5488,                 1.2274,                 1.2806,             0.00078901,             0.00078901,             0.00078901
                     43,                 1.2418,                0.92672,                 1.1003,                0.79711,                0.67817,                0.72944,                0.44475,                 1.4787,                 1.1577,                 1.2297,             0.00078601,             0.00078601,             0.00078601
                     44,                 1.2253,                0.90138,                   1.09,                0.77738,                0.68039,                0.72624,                0.43922,                 1.4922,                 1.1159,                 1.2658,             0.00078301,             0.00078301,             0.00078301
                     45,                 1.1956,                0.87611,                 1.0807,                0.75972,                0.67939,                0.73278,                 0.4312,                 1.5195,                 1.1172,                 1.2792,             0.00078001,             0.00078001,             0.00078001
                     46,                 1.1964,                 0.8858,                 1.0942,                0.82309,                0.64276,                0.73407,                0.44043,                 1.4956,                 1.1016,                 1.2659,             0.00077701,             0.00077701,             0.00077701
                     47,                 1.2243,                0.87691,                 1.0944,                0.74616,                 0.6933,                0.73397,                0.42784,                 1.5187,                 1.1646,                 1.2781,             0.00077401,             0.00077401,             0.00077401
                     48,                 1.2049,                0.87112,                 1.0794,                  0.757,                0.66977,                0.72791,                0.44189,                 1.4793,                 1.1282,                 1.2451,             0.00077101,             0.00077101,             0.00077101
                     49,                 1.2207,                0.87987,                 1.0868,                0.83828,                0.64843,                0.73571,                0.45695,                 1.4848,                 1.1388,                 1.2612,             0.00076801,             0.00076801,             0.00076801
                     50,                 1.1839,                0.84557,                 1.0789,                0.82153,                0.67624,                0.74948,                0.45743,                 1.5216,                 1.0816,                 1.2737,             0.00076501,             0.00076501,             0.00076501
                     51,                 1.1903,                0.86075,                 1.0744,                0.77076,                0.71225,                0.75212,                0.44695,                 1.5029,                 1.0824,                 1.2586,             0.00076201,             0.00076201,             0.00076201
                     52,                 1.1852,                0.87421,                 1.0803,                0.78707,                 0.6839,                0.74052,                0.43749,                 1.5086,                 1.1271,                 1.2722,             0.00075902,             0.00075902,             0.00075902
                     53,                 1.2028,                0.86661,                 1.0801,                0.80984,                0.69022,                 0.7462,                0.43349,                 1.5341,                 1.1392,                 1.2878,             0.00075602,             0.00075602,             0.00075602
                     54,                 1.1993,                0.84172,                 1.0776,                0.77312,                0.68109,                0.73043,                0.43412,                 1.5221,                 1.1185,                 1.2691,             0.00075302,             0.00075302,             0.00075302
                     55,                  1.191,                0.83428,                 1.0716,                0.74299,                 0.6791,                0.71707,                0.42948,                 1.5264,                 1.1779,                 1.2879,             0.00075002,             0.00075002,             0.00075002
                     56,                 1.1825,                0.84851,                 1.0638,                0.78449,                 0.6709,                0.73154,                0.43806,                 1.5239,                  1.113,                 1.2966,             0.00074702,             0.00074702,             0.00074702
                     57,                  1.167,                0.81182,                 1.0707,                0.79014,                0.67775,                0.72754,                0.42084,                 1.5328,                 1.1628,                 1.2856,             0.00074402,             0.00074402,             0.00074402
                     58,                  1.169,                0.83099,                 1.0695,                0.74879,                0.69148,                0.73876,                0.43984,                   1.51,                 1.1039,                 1.2794,             0.00074102,             0.00074102,             0.00074102
                     59,                 1.1792,                0.83752,                 1.0675,                0.78921,                0.68654,                 0.7595,                0.44611,                 1.5011,                 1.0883,                 1.2673,             0.00073802,             0.00073802,             0.00073802
                     60,                 1.1905,                0.82223,                 1.0776,                0.76263,                 0.6834,                0.73625,                 0.4387,                 1.5166,                 1.1182,                 1.2693,             0.00073502,             0.00073502,             0.00073502
                     61,                 1.1746,                0.81228,                 1.0652,                0.76073,                0.70721,                0.74303,                0.43831,                 1.5517,                 1.0942,                 1.3004,             0.00073202,             0.00073202,             0.00073202
                     62,                 1.1591,                0.81471,                 1.0664,                0.80492,                0.66526,                0.73318,                0.44242,                  1.514,                 1.1264,                 1.2769,             0.00072902,             0.00072902,             0.00072902
                     63,                 1.1702,                0.81605,                 1.0716,                0.79503,                0.65374,                0.73766,                0.42956,                 1.5434,                 1.1142,                  1.286,             0.00072602,             0.00072602,             0.00072602
                     64,                 1.1609,                0.79478,                 1.0609,                0.78448,                0.67441,                0.75445,                0.44312,                 1.5149,                 1.0756,                 1.2851,             0.00072302,             0.00072302,             0.00072302
                     65,                 1.1422,                0.81153,                 1.0515,                0.80005,                0.67667,                0.74448,                0.44983,                  1.499,                 1.0895,                 1.2603,             0.00072002,             0.00072002,             0.00072002
                     66,                 1.1556,                0.80911,                 1.0614,                0.76538,                0.65962,                 0.7259,                0.43775,                   1.52,                 1.0993,                 1.2766,             0.00071702,             0.00071702,             0.00071702
                     67,                 1.1643,                0.80396,                 1.0524,                0.71173,                0.66495,                0.70602,                0.42037,                  1.502,                 1.1271,                 1.2652,             0.00071402,             0.00071402,             0.00071402
                     68,                 1.1423,                0.78312,                 1.0471,                0.81372,                0.67994,                0.73459,                0.44684,                 1.5051,                   1.11,                 1.2749,             0.00071102,             0.00071102,             0.00071102
                     69,                 1.1499,                0.77546,                 1.0543,                0.78698,                0.70108,                 0.7596,                0.44723,                 1.5061,                 1.0609,                 1.2744,             0.00070802,             0.00070802,             0.00070802
                     70,                 1.1142,                 0.7913,                 1.0454,                0.77878,                0.68785,                0.75932,                0.44847,                 1.4951,                  1.037,                 1.2786,             0.00070502,             0.00070502,             0.00070502
                     71,                 1.1593,                 0.7928,                 1.0675,                0.77633,                0.69754,                0.74678,                0.43513,                 1.5053,                 1.0973,                 1.2829,             0.00070202,             0.00070202,             0.00070202
                     72,                 1.1305,                 0.7766,                 1.0475,                0.76271,                0.71349,                0.77289,                0.46594,                 1.4986,                 1.0658,                 1.2517,             0.00069902,             0.00069902,             0.00069902
                     73,                 1.1171,                0.76024,                 1.0361,                0.79247,                0.69147,                0.75209,                0.44676,                 1.5315,                 1.0876,                 1.2753,             0.00069602,             0.00069602,             0.00069602
                     74,                 1.1222,                0.75825,                 1.0478,                 0.7651,                0.66508,                0.74698,                0.45534,                 1.5168,                 1.0676,                 1.2879,             0.00069302,             0.00069302,             0.00069302
                     75,                 1.1217,                0.75876,                 1.0432,                0.76537,                0.70862,                0.76068,                0.45747,                 1.5033,                 1.0503,                 1.2723,             0.00069002,             0.00069002,             0.00069002
                     76,                 1.1342,                0.76793,                 1.0412,                0.76023,                0.69621,                0.74478,                0.44623,                 1.5188,                 1.1086,                  1.271,             0.00068702,             0.00068702,             0.00068702
                     77,                 1.1119,                0.74524,                 1.0393,                0.80213,                0.64301,                  0.742,                0.43454,                 1.5455,                  1.123,                 1.3103,             0.00068402,             0.00068402,             0.00068402
